ad_id,brand_category,competitor_page,ad_creation_time,ad_creative_body,spend_lower_inr,spend_upper_inr,impressions_lower,impressions_upper,publisher_platform,region_distribution,target_age_group,cta_type,is_active
AD_100193,Bebodywise,Setu Nutrition,2025-09-29,Special festive discount live now.,9514,22157,5425,48959,Messenger,India - South,45-54,Learn More,False
AD_100194,Bebodywise,Plix,2025-12-03,Give your baby the best nutrition.,17443,23424,23135,148909,Audience Network,India - South,18-24,Sign Up,False
AD_100195,Man Matters,The Man Company,2025-11-06,Boost immunity with natural ingredients.,8745,20415,24190,102099,Audience Network,India - West,45-54,Shop Now,False
AD_100196,Little Joys,Supples,2025-12-11,Limited time offer! Get healthier skin today.,3446,29469,66909,260159,Instagram,India - North,45-54,Learn More,False
AD_100197,Little Joys,Supples,2026-02-16,Clinically proven results in 30 days.,10640,33562,28098,47253,Facebook,India - South,35-44,Learn More,True
AD_100198,Man Matters,The Man Company,2025-08-26,Clinically proven results in 30 days.,16939,28437,77934,218493,Messenger,India - North,35-44,Learn More,True
AD_100199,Little Joys,Brainiac,2026-02-02,Feel confident every day.,16801,37308,19820,100094,Audience Network,India - East,45-54,Sign Up,False
AD_100200,Little Joys,Supples,2025-12-28,Give your baby the best nutrition.,5246,23134,77351,114473,Audience Network,India - East,45-54,Learn More,True
AD_100201,Man Matters,Traya,2025-09-03,Flat 40% off on your first purchase.,17115,36843,18428,115853,Audience Network,India - East,25-34,Learn More,True
AD_100202,Man Matters,The Man Company,2026-01-23,Give your baby the best nutrition.,6312,15317,44883,189891,Audience Network,India - North,45-54,Learn More,False
AD_100203,Man Matters,Traya,2025-10-11,Clinically proven results in 30 days.,4969,23818,92910,163803,Messenger,India - East,25-34,Learn More,True
AD_100204,Bebodywise,Nua Woman,2025-10-02,Feel confident every day.,11945,36087,55206,83003,Audience Network,India - North,18-24,Sign Up,False
AD_100205,Little Joys,Supples,2025-09-15,Flat 40% off on your first purchase.,16924,37374,25935,215904,Facebook,India - West,45-54,Order Now,False
AD_100206,Little Joys,Brainiac,2026-01-13,Doctor recommended wellness formula.,15343,30775,42498,68360,Facebook,India - South,18-24,Shop Now,True
AD_100207,Bebodywise,Setu Nutrition,2025-11-30,Dermatologist tested and approved.,11790,30385,18815,114749,Audience Network,India - West,35-44,Shop Now,False
AD_100208,Man Matters,The Man Company,2026-01-02,Flat 40% off on your first purchase.,15012,25624,65638,125532,Audience Network,India - West,35-44,Shop Now,False
AD_100209,Man Matters,Beardo,2025-12-29,Flat 40% off on your first purchase.,14876,17668,99557,289428,Audience Network,India - South,25-34,Learn More,False
AD_100210,Man Matters,The Man Company,2025-08-30,Flat 40% off on your first purchase.,19743,35766,67070,110770,Messenger,India - West,35-44,Order Now,True
AD_100211,Man Matters,Traya,2025-09-17,Feel confident every day.,17585,20487,39332,108608,Facebook,India - East,25-34,Shop Now,True
AD_100212,Little Joys,Brainiac,2025-12-17,Limited time offer! Get healthier skin today.,7945,33129,44946,188185,Instagram,India - South,45-54,Shop Now,True
AD_100213,Man Matters,The Man Company,2025-10-05,Boost immunity with natural ingredients.,9058,14039,11863,208989,Facebook,India - East,35-44,Shop Now,False
AD_100214,Little Joys,Slurrp Farm,2026-01-10,Clinically proven results in 30 days.,16131,24021,46173,206375,Messenger,India - East,25-34,Shop Now,True
AD_100215,Man Matters,Beardo,2025-09-28,Dermatologist tested and approved.,14579,17100,88159,145113,Audience Network,India - West,35-44,Learn More,True
AD_100216,Little Joys,Slurrp Farm,2025-09-01,Transform your hair naturally.,5123,15880,33112,69180,Messenger,India - North,18-24,Shop Now,True
AD_100217,Man Matters,The Man Company,2026-01-22,Boost immunity with natural ingredients.,5315,35264,94070,108563,Audience Network,India - South,45-54,Sign Up,True
AD_100218,Man Matters,The Man Company,2025-12-08,Doctor recommended wellness formula.,15143,40330,71702,194893,Audience Network,India - East,18-24,Learn More,False
AD_100219,Man Matters,Traya,2025-11-30,Special festive discount live now.,19691,49290,42088,207002,Instagram,India - North,25-34,Sign Up,False
AD_100220,Man Matters,Traya,2026-01-29,Doctor recommended wellness formula.,1830,8146,77624,261324,Instagram,India - North,45-54,Sign Up,True
AD_100221,Bebodywise,Plix,2026-01-30,Boost immunity with natural ingredients.,6987,13893,82004,240929,Instagram,India - East,25-34,Shop Now,True
AD_100222,Little Joys,Slurrp Farm,2025-09-28,Doctor recommended wellness formula.,1597,15208,26668,169861,Messenger,India - North,25-34,Order Now,True
AD_100223,Little Joys,Slurrp Farm,2026-01-19,Clinically proven results in 30 days.,11457,16688,72715,134306,Instagram,India - South,25-34,Order Now,False
AD_100224,Little Joys,Slurrp Farm,2025-11-12,Boost immunity with natural ingredients.,10181,39920,68376,93744,Instagram,India - East,18-24,Sign Up,True
AD_100225,Man Matters,Traya,2025-09-23,Boost immunity with natural ingredients.,5899,24380,51712,78832,Messenger,India - North,45-54,Learn More,True
AD_100226,Man Matters,The Man Company,2025-08-29,Limited time offer! Get healthier skin today.,2655,30920,86124,239556,Audience Network,India - East,18-24,Order Now,True
AD_100227,Little Joys,Slurrp Farm,2025-08-28,Dermatologist tested and approved.,8417,19010,76362,150641,Audience Network,India - North,45-54,Sign Up,False
AD_100228,Little Joys,Slurrp Farm,2025-09-02,Boost immunity with natural ingredients.,11016,31669,45845,156820,Facebook,India - South,18-24,Sign Up,True
AD_100229,Bebodywise,Nua Woman,2026-02-03,Clinically proven results in 30 days.,9190,33974,21693,155048,Instagram,India - East,25-34,Sign Up,False
AD_100230,Bebodywise,Setu Nutrition,2025-10-14,Limited time offer! Get healthier skin today.,7818,18945,52606,66053,Messenger,India - North,18-24,Shop Now,False
AD_100231,Little Joys,Brainiac,2026-02-10,Doctor recommended wellness formula.,3225,11292,91900,123353,Audience Network,India - North,18-24,Order Now,False
AD_100232,Little Joys,Slurrp Farm,2025-10-02,Flat 40% off on your first purchase.,13991,29350,23430,199673,Messenger,India - South,25-34,Shop Now,True
AD_100233,Little Joys,Supples,2026-01-30,Limited time offer! Get healthier skin today.,7666,30913,55452,151589,Facebook,India - North,18-24,Learn More,False
AD_100234,Bebodywise,Nua Woman,2025-12-30,Transform your hair naturally.,2012,14046,24914,194166,Audience Network,India - South,25-34,Order Now,False
AD_100235,Little Joys,Slurrp Farm,2025-08-24,Doctor recommended wellness formula.,6935,14704,33819,212275,Facebook,India - South,35-44,Order Now,False
AD_100236,Man Matters,Traya,2025-12-11,Feel confident every day.,10603,23261,36301,234393,Facebook,India - East,45-54,Learn More,True
AD_100237,Man Matters,Beardo,2025-11-19,Doctor recommended wellness formula.,12523,20421,90547,114585,Instagram,India - West,35-44,Learn More,True
AD_100238,Little Joys,Brainiac,2026-01-30,Boost immunity with natural ingredients.,5585,32236,18562,36861,Facebook,India - East,18-24,Sign Up,True
AD_100239,Bebodywise,Plix,2025-09-07,Doctor recommended wellness formula.,16296,44786,10584,151382,Instagram,India - North,35-44,Order Now,False
AD_100240,Little Joys,Supples,2025-11-10,Transform your hair naturally.,1033,24518,45410,125152,Facebook,India - South,18-24,Learn More,False
AD_100241,Little Joys,Brainiac,2025-10-29,Transform your hair naturally.,11060,32917,54626,87951,Instagram,India - West,35-44,Learn More,False
AD_100242,Man Matters,Traya,2026-01-05,Transform your hair naturally.,19819,29695,5966,158465,Audience Network,India - West,25-34,Sign Up,False
AD_100243,Little Joys,Supples,2025-09-06,Give your baby the best nutrition.,9632,37647,56309,160115,Facebook,India - East,18-24,Shop Now,True
AD_100244,Little Joys,Supples,2025-09-19,Boost immunity with natural ingredients.,4372,14935,68063,118303,Facebook,India - West,35-44,Shop Now,True
AD_100245,Little Joys,Brainiac,2025-12-12,Limited time offer! Get healthier skin today.,3050,23288,49391,119633,Messenger,India - South,25-34,Sign Up,True
AD_100246,Bebodywise,Nua Woman,2026-01-15,Clinically proven results in 30 days.,12658,29496,38997,91893,Facebook,India - South,45-54,Order Now,True
AD_100247,Man Matters,The Man Company,2025-10-22,Feel confident every day.,5197,12007,64161,177115,Facebook,India - South,25-34,Sign Up,False
AD_100248,Man Matters,Beardo,2025-10-30,Give your baby the best nutrition.,7627,16960,80679,141211,Audience Network,India - West,25-34,Shop Now,False
AD_100249,Little Joys,Slurrp Farm,2025-11-08,Flat 40% off on your first purchase.,7545,19865,53310,245633,Instagram,India - East,18-24,Sign Up,False
AD_100250,Man Matters,Traya,2025-10-24,Clinically proven results in 30 days.,6621,11848,82596,175552,Audience Network,India - North,45-54,Order Now,False
AD_100251,Little Joys,Slurrp Farm,2026-01-22,Dermatologist tested and approved.,13280,15298,77034,149719,Messenger,India - South,45-54,Sign Up,False
AD_100252,Little Joys,Supples,2025-08-25,Special festive discount live now.,9604,18535,6151,147710,Messenger,India - West,35-44,Shop Now,False
AD_100253,Man Matters,Traya,2026-01-22,Dermatologist tested and approved.,5479,32057,81759,210462,Audience Network,India - East,25-34,Sign Up,True
AD_100254,Man Matters,Traya,2026-01-27,Flat 40% off on your first purchase.,2218,21277,83933,244595,Audience Network,India - West,45-54,Shop Now,False
AD_100255,Little Joys,Brainiac,2026-01-10,Special festive discount live now.,2693,28876,78845,126502,Instagram,India - East,45-54,Order Now,True
AD_100256,Man Matters,The Man Company,2025-10-29,Flat 40% off on your first purchase.,1861,30117,86215,137863,Facebook,India - East,18-24,Learn More,True
AD_100257,Bebodywise,Setu Nutrition,2026-02-18,Dermatologist tested and approved.,1804,26596,74193,247568,Instagram,India - East,45-54,Order Now,False
AD_100258,Bebodywise,Plix,2026-01-29,Limited time offer! Get healthier skin today.,2702,11770,39269,235708,Audience Network,India - North,18-24,Sign Up,False
AD_100259,Man Matters,The Man Company,2025-08-30,Limited time offer! Get healthier skin today.,7735,35088,46119,212628,Messenger,India - South,18-24,Shop Now,False
AD_100260,Little Joys,Supples,2025-11-01,Doctor recommended wellness formula.,19906,49715,47098,77242,Facebook,India - West,35-44,Learn More,True
AD_100261,Bebodywise,Nua Woman,2025-09-14,Doctor recommended wellness formula.,15953,30990,10630,104128,Instagram,India - North,25-34,Shop Now,False
AD_100262,Man Matters,Beardo,2026-01-10,Give your baby the best nutrition.,1725,20611,69992,103855,Facebook,India - East,45-54,Shop Now,True
AD_100263,Bebodywise,Setu Nutrition,2025-10-23,Flat 40% off on your first purchase.,2295,30226,46639,214275,Instagram,India - West,25-34,Learn More,True
AD_100264,Man Matters,Traya,2026-01-01,Dermatologist tested and approved.,5949,26481,26851,100019,Audience Network,India - West,45-54,Shop Now,False
AD_100265,Man Matters,Traya,2025-11-14,Give your baby the best nutrition.,19710,27100,68029,190616,Messenger,India - West,18-24,Order Now,False
AD_100266,Man Matters,Beardo,2025-09-10,Limited time offer! Get healthier skin today.,14679,36639,14216,150938,Facebook,India - South,35-44,Learn More,False
AD_100267,Man Matters,The Man Company,2025-09-20,Feel confident every day.,5611,30340,12195,68195,Messenger,India - South,45-54,Order Now,True
AD_100268,Man Matters,Beardo,2026-01-28,Special festive discount live now.,6232,24976,62524,205892,Facebook,India - West,45-54,Sign Up,True
AD_100269,Little Joys,Brainiac,2025-09-21,Give your baby the best nutrition.,3383,16854,24855,97688,Audience Network,India - West,45-54,Sign Up,True
AD_100270,Bebodywise,Plix,2026-01-08,Dermatologist tested and approved.,4892,11196,88812,174789,Messenger,India - South,18-24,Shop Now,True
AD_100271,Man Matters,Beardo,2025-11-10,Limited time offer! Get healthier skin today.,12374,20910,80125,276314,Facebook,India - North,45-54,Sign Up,True
AD_100272,Little Joys,Slurrp Farm,2025-08-24,Limited time offer! Get healthier skin today.,11733,24981,82440,169312,Audience Network,India - North,25-34,Learn More,False
AD_100273,Bebodywise,Setu Nutrition,2025-09-07,Boost immunity with natural ingredients.,17488,21512,21462,220080,Facebook,India - South,18-24,Order Now,True
AD_100274,Bebodywise,Nua Woman,2026-02-17,Give your baby the best nutrition.,19795,40600,70581,173126,Audience Network,India - East,35-44,Sign Up,True
AD_100275,Man Matters,Traya,2026-02-17,Transform your hair naturally.,5976,16088,42278,211789,Messenger,India - North,25-34,Learn More,False
AD_100276,Little Joys,Supples,2025-11-04,Special festive discount live now.,13324,17854,61060,120881,Audience Network,India - North,18-24,Shop Now,False
AD_100277,Little Joys,Brainiac,2025-11-28,Special festive discount live now.,16680,43926,43999,165829,Instagram,India - South,18-24,Learn More,False
AD_100278,Man Matters,Beardo,2026-01-10,Special festive discount live now.,9965,20396,48733,158944,Messenger,India - East,18-24,Learn More,True
AD_100279,Little Joys,Supples,2025-11-05,Special festive discount live now.,3306,27036,19731,79024,Messenger,India - East,45-54,Learn More,False
AD_100280,Little Joys,Slurrp Farm,2025-11-26,Feel confident every day.,7010,28457,47457,114071,Messenger,India - South,18-24,Shop Now,True
AD_100281,Bebodywise,Setu Nutrition,2025-10-31,Transform your hair naturally.,1704,21844,68501,81490,Instagram,India - South,45-54,Order Now,False
AD_100282,Man Matters,Beardo,2026-01-18,Transform your hair naturally.,19504,37316,65836,132468,Instagram,India - East,25-34,Shop Now,False
AD_100283,Man Matters,Beardo,2026-01-24,Transform your hair naturally.,14581,24749,80798,268781,Messenger,India - North,18-24,Shop Now,False
AD_100284,Man Matters,The Man Company,2025-10-20,Feel confident every day.,18248,34178,31499,212778,Audience Network,India - East,25-34,Shop Now,False
AD_100285,Man Matters,The Man Company,2025-09-03,Dermatologist tested and approved.,9367,20369,51614,188539,Messenger,India - East,35-44,Sign Up,True
AD_100286,Man Matters,Beardo,2025-09-25,Doctor recommended wellness formula.,13302,38917,15730,61619,Instagram,India - North,45-54,Order Now,False
AD_100287,Little Joys,Slurrp Farm,2025-11-14,Special festive discount live now.,7380,22887,69573,243953,Instagram,India - North,35-44,Learn More,False
AD_100288,Bebodywise,Setu Nutrition,2025-12-10,Doctor recommended wellness formula.,11928,35612,62744,104809,Messenger,India - East,18-24,Learn More,True
AD_100289,Little Joys,Supples,2025-12-09,Flat 40% off on your first purchase.,16194,32053,55952,230534,Facebook,India - East,18-24,Sign Up,True
AD_100290,Little Joys,Slurrp Farm,2026-02-16,Give your baby the best nutrition.,12824,36582,85462,176322,Messenger,India - North,45-54,Order Now,False
AD_100291,Man Matters,The Man Company,2025-10-21,Dermatologist tested and approved.,13364,18960,19848,184839,Audience Network,India - West,45-54,Learn More,False
AD_100292,Man Matters,The Man Company,2025-09-11,Clinically proven results in 30 days.,4615,21656,26168,201824,Messenger,India - South,18-24,Sign Up,False
AD_100293,Little Joys,Slurrp Farm,2026-02-07,Dermatologist tested and approved.,18056,28750,97779,214431,Audience Network,India - South,45-54,Learn More,False
AD_100294,Little Joys,Brainiac,2025-10-30,Boost immunity with natural ingredients.,10782,29920,63801,237256,Messenger,India - South,25-34,Order Now,True
AD_100295,Man Matters,Traya,2025-12-24,Special festive discount live now.,8617,20186,41596,157931,Instagram,India - East,25-34,Learn More,True
AD_100296,Man Matters,Traya,2025-12-19,Boost immunity with natural ingredients.,16213,45106,81849,268813,Messenger,India - East,25-34,Learn More,True
AD_100297,Man Matters,Beardo,2025-10-17,Clinically proven results in 30 days.,12072,34853,55111,170654,Messenger,India - North,35-44,Shop Now,True
AD_100298,Man Matters,Beardo,2025-10-16,Transform your hair naturally.,19122,40742,58131,217744,Instagram,India - North,18-24,Shop Now,True
AD_100299,Man Matters,Beardo,2025-09-29,Feel confident every day.,10223,18789,35551,222062,Messenger,India - West,45-54,Learn More,True
AD_100300,Little Joys,Brainiac,2025-10-07,Dermatologist tested and approved.,2807,29053,55731,140593,Audience Network,India - South,25-34,Shop Now,False
AD_100301,Man Matters,Beardo,2025-12-13,Transform your hair naturally.,15602,37754,60419,144971,Messenger,India - West,18-24,Order Now,True
AD_100302,Bebodywise,Nua Woman,2025-10-03,Feel confident every day.,5841,33716,59635,132920,Facebook,India - West,25-34,Order Now,True
AD_100303,Bebodywise,Nua Woman,2025-12-10,Special festive discount live now.,4876,12704,96598,276677,Audience Network,India - North,35-44,Sign Up,False
AD_100304,Bebodywise,Nua Woman,2025-12-23,Doctor recommended wellness formula.,18783,39897,97406,169389,Instagram,India - East,45-54,Sign Up,True
AD_100305,Man Matters,Beardo,2025-08-29,Limited time offer! Get healthier skin today.,19689,24012,20812,73478,Facebook,India - South,18-24,Sign Up,True
AD_100306,Bebodywise,Plix,2026-01-15,Flat 40% off on your first purchase.,10926,13703,69581,262556,Messenger,India - South,18-24,Learn More,True
AD_100307,Bebodywise,Nua Woman,2025-11-01,Doctor recommended wellness formula.,10189,39827,86205,100862,Messenger,India - South,35-44,Sign Up,True
AD_100308,Little Joys,Supples,2026-02-18,Transform your hair naturally.,16686,32884,83766,142423,Instagram,India - South,25-34,Learn More,True
AD_100309,Bebodywise,Plix,2025-11-18,Flat 40% off on your first purchase.,11645,30352,55243,77424,Audience Network,India - North,18-24,Shop Now,False
AD_100310,Little Joys,Supples,2025-09-10,Limited time offer! Get healthier skin today.,7914,33137,25486,118808,Instagram,India - North,45-54,Sign Up,True
AD_100311,Little Joys,Brainiac,2025-12-24,Give your baby the best nutrition.,14085,24334,16812,145457,Audience Network,India - South,18-24,Sign Up,True
AD_100312,Little Joys,Slurrp Farm,2026-02-04,Feel confident every day.,16070,39709,75219,157007,Audience Network,India - North,35-44,Order Now,False
AD_100313,Bebodywise,Nua Woman,2026-02-13,Transform your hair naturally.,11529,40355,18479,182643,Instagram,India - South,45-54,Order Now,False
AD_100314,Little Joys,Brainiac,2025-12-19,Limited time offer! Get healthier skin today.,10315,19086,5792,23776,Messenger,India - South,25-34,Sign Up,True
AD_100315,Little Joys,Supples,2025-09-10,Boost immunity with natural ingredients.,14562,18539,48416,224471,Audience Network,India - North,35-44,Sign Up,False
AD_100316,Bebodywise,Setu Nutrition,2025-12-24,Give your baby the best nutrition.,2296,13150,10191,193204,Instagram,India - North,18-24,Order Now,True
AD_100317,Man Matters,Beardo,2025-08-29,Boost immunity with natural ingredients.,11719,26274,11495,111541,Audience Network,India - North,18-24,Sign Up,False
AD_100318,Man Matters,Traya,2026-01-11,Doctor recommended wellness formula.,18359,35970,50258,159327,Instagram,India - South,25-34,Order Now,True
AD_100319,Bebodywise,Plix,2026-02-08,Limited time offer! Get healthier skin today.,5223,16962,67211,198029,Facebook,India - East,35-44,Sign Up,True
AD_100320,Little Joys,Slurrp Farm,2025-11-18,Doctor recommended wellness formula.,2888,19077,87408,251618,Facebook,India - North,18-24,Sign Up,False
AD_100321,Man Matters,Beardo,2026-02-06,Boost immunity with natural ingredients.,18776,27890,21220,41199,Instagram,India - North,25-34,Order Now,True
AD_100322,Little Joys,Slurrp Farm,2025-10-10,Clinically proven results in 30 days.,11412,24264,80579,226446,Audience Network,India - North,45-54,Sign Up,True
AD_100323,Little Joys,Supples,2026-01-07,Special festive discount live now.,12738,37686,92890,258936,Facebook,India - East,18-24,Order Now,False
AD_100324,Man Matters,Traya,2025-10-31,Flat 40% off on your first purchase.,11275,22797,92696,189300,Facebook,India - East,25-34,Order Now,True
AD_100325,Little Joys,Brainiac,2025-10-20,Limited time offer! Get healthier skin today.,3294,15670,25337,192096,Facebook,India - North,18-24,Learn More,False
AD_100326,Little Joys,Brainiac,2025-11-19,Limited time offer! Get healthier skin today.,7709,13990,85588,202013,Audience Network,India - South,35-44,Order Now,True
AD_100327,Man Matters,Beardo,2025-10-27,Transform your hair naturally.,7143,9832,64764,247476,Instagram,India - South,35-44,Sign Up,True
AD_100328,Man Matters,Beardo,2025-09-12,Give your baby the best nutrition.,2528,24975,28714,162180,Instagram,India - East,35-44,Order Now,False
AD_100329,Bebodywise,Setu Nutrition,2025-10-12,Clinically proven results in 30 days.,17483,21122,43819,132107,Facebook,India - North,18-24,Order Now,False
AD_100330,Little Joys,Supples,2025-11-07,Doctor recommended wellness formula.,17428,41992,76283,112779,Audience Network,India - East,25-34,Shop Now,False
AD_100331,Man Matters,Beardo,2026-02-18,Give your baby the best nutrition.,6800,36239,7815,98445,Messenger,India - East,35-44,Learn More,False
AD_100332,Bebodywise,Nua Woman,2025-09-03,Boost immunity with natural ingredients.,12816,18104,25582,125828,Instagram,India - South,35-44,Order Now,True
AD_100333,Bebodywise,Nua Woman,2025-12-20,Boost immunity with natural ingredients.,19371,41940,30921,151390,Messenger,India - North,45-54,Sign Up,True
AD_100334,Little Joys,Slurrp Farm,2026-01-31,Transform your hair naturally.,19949,33355,26213,151303,Facebook,India - East,45-54,Learn More,False
AD_100335,Bebodywise,Nua Woman,2025-10-01,Limited time offer! Get healthier skin today.,15474,41390,99791,111284,Messenger,India - East,45-54,Sign Up,False
AD_100336,Bebodywise,Setu Nutrition,2025-09-20,Limited time offer! Get healthier skin today.,14136,21033,64211,140460,Instagram,India - South,18-24,Sign Up,False
AD_100337,Little Joys,Slurrp Farm,2025-10-16,Feel confident every day.,14145,24833,6117,153638,Audience Network,India - North,18-24,Sign Up,True
AD_100338,Man Matters,Beardo,2025-11-08,Limited time offer! Get healthier skin today.,9919,12913,57790,179614,Audience Network,India - West,18-24,Sign Up,True
AD_100339,Man Matters,Traya,2025-08-25,Feel confident every day.,9017,28038,15607,198975,Instagram,India - South,35-44,Shop Now,True
AD_100340,Man Matters,Beardo,2025-09-22,Feel confident every day.,3183,17240,25063,213827,Audience Network,India - West,18-24,Order Now,True
AD_100341,Bebodywise,Nua Woman,2026-02-17,Feel confident every day.,1797,12194,6499,145462,Audience Network,India - East,35-44,Order Now,True
AD_100342,Little Joys,Slurrp Farm,2025-12-09,Special festive discount live now.,14960,35647,6000,196714,Audience Network,India - South,35-44,Sign Up,True
AD_100343,Little Joys,Supples,2026-01-29,Transform your hair naturally.,3900,32497,46140,217640,Instagram,India - North,45-54,Order Now,False
AD_100344,Man Matters,Beardo,2025-12-04,Give your baby the best nutrition.,14335,33627,18889,31776,Messenger,India - South,25-34,Order Now,False
AD_100345,Man Matters,Beardo,2025-10-05,Doctor recommended wellness formula.,7775,28919,18033,29599,Messenger,India - South,18-24,Shop Now,False
AD_100346,Man Matters,The Man Company,2025-09-18,Feel confident every day.,18244,23863,22508,129955,Audience Network,India - North,25-34,Learn More,True
AD_100347,Man Matters,Beardo,2025-12-30,Flat 40% off on your first purchase.,8443,27560,28927,150313,Instagram,India - West,45-54,Learn More,True
AD_100348,Man Matters,Traya,2026-01-22,Limited time offer! Get healthier skin today.,11423,34817,33966,46017,Audience Network,India - North,25-34,Shop Now,True
AD_100349,Man Matters,Beardo,2025-10-26,Feel confident every day.,12867,40723,35940,146133,Facebook,India - East,18-24,Shop Now,False
AD_100350,Little Joys,Brainiac,2026-02-04,Clinically proven results in 30 days.,18932,46113,79576,125435,Facebook,India - South,18-24,Shop Now,False
AD_100351,Bebodywise,Setu Nutrition,2026-02-19,Flat 40% off on your first purchase.,9599,14924,6352,125136,Instagram,India - East,25-34,Order Now,True
AD_100352,Bebodywise,Plix,2025-09-12,Boost immunity with natural ingredients.,16914,23830,64179,240867,Messenger,India - North,35-44,Learn More,False
AD_100353,Man Matters,The Man Company,2026-02-12,Special festive discount live now.,7323,30643,57151,216217,Audience Network,India - South,35-44,Learn More,True
AD_100354,Bebodywise,Setu Nutrition,2025-09-01,Boost immunity with natural ingredients.,16317,31686,66584,110732,Messenger,India - West,18-24,Order Now,False
AD_100355,Little Joys,Supples,2026-01-23,Transform your hair naturally.,9485,33642,13995,202745,Facebook,India - North,18-24,Learn More,False
AD_100356,Man Matters,Beardo,2025-10-29,Doctor recommended wellness formula.,9005,36621,64817,137504,Facebook,India - East,35-44,Order Now,True
AD_100357,Bebodywise,Nua Woman,2025-11-27,Dermatologist tested and approved.,1568,4415,19283,142666,Facebook,India - East,25-34,Shop Now,True
AD_100358,Little Joys,Slurrp Farm,2025-12-26,Limited time offer! Get healthier skin today.,14103,21573,56141,127943,Facebook,India - East,45-54,Sign Up,False
AD_100359,Bebodywise,Setu Nutrition,2025-10-18,Special festive discount live now.,8247,32771,6938,89337,Instagram,India - South,45-54,Order Now,False
AD_100360,Man Matters,Traya,2026-01-07,Flat 40% off on your first purchase.,14186,29454,63056,203926,Facebook,India - West,45-54,Shop Now,False
AD_100361,Little Joys,Supples,2026-01-07,Clinically proven results in 30 days.,8268,29100,48478,129885,Facebook,India - North,18-24,Shop Now,False
AD_100362,Little Joys,Slurrp Farm,2026-01-20,Clinically proven results in 30 days.,7922,15514,58260,101614,Messenger,India - North,18-24,Shop Now,True
AD_100363,Little Joys,Supples,2025-10-06,Clinically proven results in 30 days.,8847,26675,27976,115873,Messenger,India - North,35-44,Shop Now,True
AD_100364,Little Joys,Supples,2025-11-14,Special festive discount live now.,3388,8704,29718,149226,Instagram,India - East,45-54,Sign Up,False
AD_100365,Bebodywise,Setu Nutrition,2026-01-03,Boost immunity with natural ingredients.,4082,10934,37098,225738,Audience Network,India - West,35-44,Learn More,True
AD_100366,Man Matters,Traya,2025-11-19,Boost immunity with natural ingredients.,9782,16759,87823,128113,Messenger,India - South,25-34,Sign Up,False
AD_100367,Bebodywise,Setu Nutrition,2025-11-04,Transform your hair naturally.,4331,15053,18439,196748,Audience Network,India - South,25-34,Sign Up,False
AD_100368,Little Joys,Supples,2026-02-12,Dermatologist tested and approved.,8684,11208,92716,267639,Instagram,India - West,35-44,Shop Now,False
AD_100369,Man Matters,Traya,2025-12-12,Transform your hair naturally.,15564,24435,12676,30881,Messenger,India - West,18-24,Learn More,False
AD_100370,Man Matters,The Man Company,2026-01-21,Clinically proven results in 30 days.,16443,35294,9609,90860,Instagram,India - East,25-34,Sign Up,True
AD_100371,Man Matters,Traya,2025-11-07,Flat 40% off on your first purchase.,9874,36706,15683,215592,Instagram,India - North,45-54,Shop Now,True
AD_100372,Man Matters,Beardo,2025-11-17,Limited time offer! Get healthier skin today.,3226,12625,77014,176424,Audience Network,India - East,25-34,Order Now,True
AD_100373,Man Matters,The Man Company,2025-11-19,Dermatologist tested and approved.,15896,29279,55071,106046,Instagram,India - South,45-54,Order Now,False
AD_100374,Little Joys,Slurrp Farm,2025-09-18,Feel confident every day.,16684,25730,31492,45750,Audience Network,India - West,25-34,Sign Up,False
AD_100375,Little Joys,Supples,2025-09-11,Feel confident every day.,16256,20757,83527,135748,Audience Network,India - West,45-54,Learn More,True
AD_100376,Man Matters,The Man Company,2025-10-01,Transform your hair naturally.,5396,25329,76285,129316,Audience Network,India - East,25-34,Order Now,False
AD_100377,Bebodywise,Nua Woman,2026-02-03,Limited time offer! Get healthier skin today.,16100,35558,86931,141320,Facebook,India - North,45-54,Sign Up,False
AD_100378,Man Matters,Traya,2025-11-01,Limited time offer! Get healthier skin today.,1097,25280,6156,151491,Messenger,India - South,45-54,Sign Up,False
AD_100379,Man Matters,The Man Company,2025-10-27,Clinically proven results in 30 days.,14144,24309,67377,84869,Audience Network,India - East,25-34,Learn More,True
AD_100380,Little Joys,Brainiac,2026-01-26,Doctor recommended wellness formula.,17101,21933,78996,226277,Instagram,India - West,45-54,Order Now,False
AD_100381,Man Matters,Beardo,2025-12-13,Special festive discount live now.,3091,12216,41483,165801,Instagram,India - South,18-24,Sign Up,False
AD_100382,Little Joys,Slurrp Farm,2025-10-22,Transform your hair naturally.,15280,40066,10638,210040,Instagram,India - East,35-44,Learn More,False
AD_100383,Man Matters,The Man Company,2026-01-06,Doctor recommended wellness formula.,5031,17844,62321,194455,Facebook,India - North,45-54,Shop Now,True
AD_100384,Man Matters,The Man Company,2025-10-22,Boost immunity with natural ingredients.,11792,41317,47354,172552,Facebook,India - West,35-44,Shop Now,True
AD_100385,Bebodywise,Plix,2025-09-19,Boost immunity with natural ingredients.,12575,28723,77873,165451,Audience Network,India - South,25-34,Learn More,True
AD_100386,Little Joys,Slurrp Farm,2025-12-03,Flat 40% off on your first purchase.,10407,24213,45502,151556,Messenger,India - South,45-54,Order Now,False
AD_100387,Man Matters,The Man Company,2025-09-26,Dermatologist tested and approved.,14505,44044,47008,59562,Audience Network,India - East,18-24,Order Now,True
